AreaID,AreaType,Hour,Replicate,uMN,uMO2,O2_mg_L,MIMS_Notes,RemoveN,RemoveO2
N7,mussels,10,1,850.9455905,72.16758832,2.309362826,,N,N
OA10,cordgrass only,10,1,841.4546454,46.34264854,1.482964753,,Y,N
OA2,cordgrass only,10,1,841.7447795,67.73358126,2.1674746,,Y,N
OA3,cordgrass only,10,1,841.9210109,70.81965324,2.266228904,,Y,N
OA9,cordgrass only,10,1,844.3628737,85.96507782,2.75088249,,N,N
OC2,cordgrass only,10,1,843.3778991,40.65406843,1.30093019,,N,N
OC3,cordgrass only,10,1,845.6348025,58.97422656,1.88717525,,Y,N
OC9,cordgrass only,10,1,845.1610293,71.95444549,2.302542256,bubble,N,N
OL10,cordgrass only,10,1,841.2817543,61.677018,1.973664576,,N,N
OL2,cordgrass only,10,1,841.2430836,58.28460524,1.865107368,,Y,N
OL3,cordgrass only,10,1,845.569123,69.93486454,2.237915665,,N,N
OL4,cordgrass only,10,1,853.6291024,33.28531564,1.0651301,poor read,Y,N
OL5,cordgrass only,10,1,840.4520852,67.43737419,2.157995974,,N,N
OL8,cordgrass only,10,1,844.9537819,58.96429823,1.886857543,,N,N
ON1,cordgrass only,10,1,839.5347176,49.53927959,1.585256947,,Y,N
ON10,cordgrass only,10,1,841.4248824,64.96551211,2.078896388,,Y,N
ON2,cordgrass only,10,1,844.8936883,67.96060228,2.174739273,,N,N
ON3,cordgrass only,10,1,840.3873889,90.82014272,2.906244567,,N,N
ON4,cordgrass only,10,1,842.8954618,64.5313268,2.065002458,,Y,N
ON6,cordgrass only,10,1,845.6331068,72.02864573,2.304916663,,N,N
WB,NA,10,1,845.0045855,140.7569718,4.504223099,,N,N
A1,mussels,10,2,846.767431,94.68861039,3.030035533,,Y,N
A2,mussels,10,2,849.0320756,95.72756304,3.063282017,,N,N
A3,mussels,10,2,NA,NA,NA,,N,N
A5,mussels,10,2,NA,NA,NA,,N,N
A8,mussels,10,2,849.4128646,69.00719633,2.208230282,,N,N
C1,mussels,10,2,NA,NA,NA,,N,N
C3,mussels,10,2,NA,NA,NA,,N,N
C4,mussels,10,2,846.3390421,111.095114,3.555043649,,Y,N
L10,mussels,10,2,NA,NA,NA,,N,N
L4,mussels,10,2,NA,NA,NA,,N,N
L6,mussels,10,2,NA,NA,NA,,N,N
L7,mussels,10,2,NA,NA,NA,,N,N
L9,mussels,10,2,NA,NA,NA,,N,N
N1,mussels,10,2,847.8519652,77.88542654,2.492333649,,Y,N
N10,mussels,10,2,NA,NA,NA,,N,N
N5,mussels,10,2,NA,NA,NA,,N,N
N6,mussels,10,2,NA,NA,NA,,N,N
N7,mussels,10,2,850.7882397,48.0411115,1.537315568,poor read?,N,N
OA10,cordgrass only,10,2,841.6672329,39.03723632,1.249191562,,Y,N
OA2,cordgrass only,10,2,840.1957301,39.65781618,1.269050118,,Y,N
OA3,cordgrass only,10,2,843.5147625,55.96418031,1.79085377,,N,N
OA9,cordgrass only,10,2,845.5480139,52.75479951,1.688153584,,N,N
OC2,cordgrass only,10,2,843.5735047,48.70244558,1.558478258,,N,N
OC3,cordgrass only,10,2,846.0941116,62.50565344,2.00018091,,Y,N
OC9,cordgrass only,10,2,845.7953911,56.71564028,1.814900489,poor read,N,N
OL10,cordgrass only,10,2,841.0741801,39.29436343,1.25741963,,N,N
OL2,cordgrass only,10,2,842.3770567,68.04852584,2.177552827,,Y,N
OL3,cordgrass only,10,2,843.0417233,53.05990775,1.697917048,bubble; poor read,N,N
OL4,cordgrass only,10,2,NA,NA,NA,,N,N
OL5,cordgrass only,10,2,844.9969596,58.18885731,1.862043434,,Y,N
OL8,cordgrass only,10,2,843.2552294,45.09168114,1.442933797,,N,N
ON1,cordgrass only,10,2,842.2545586,61.58285511,1.970651364,,Y,N
ON10,cordgrass only,10,2,842.2174573,48.27627501,1.5448408,,Y,N
ON2,cordgrass only,10,2,844.1375493,51.26796229,1.640574793,,N,N
ON3,cordgrass only,10,2,841.4833627,84.05121021,2.689638727,,N,N
ON4,cordgrass only,10,2,841.6764262,56.53352644,1.809072846,,Y,N
ON6,cordgrass only,10,2,841.6811687,73.76723997,2.360551679,,Y,N
WB,NA,10,2,845.1805902,141.8374434,4.53879819,,Y,N
