Year,AreaID,AreaType,LocalMusselDensity_m2,NeighboringMusselDensity_9pim2,BiodepositDepth_cm,SampleCollection
2020,OA8,cordgrass only,NA,120,NA,porewater; leaf clips
2020,OA9,cordgrass only,NA,153,NA,porewater; leaf clips
2020,OC1,cordgrass only,NA,262,NA,porewater; leaf clips
2020,OC10,cordgrass only,NA,338,NA,porewater; leaf clips
2020,OC2,cordgrass only,NA,282,NA,porewater; leaf clips
2020,OC3,cordgrass only,NA,453,NA,porewater; leaf clips
2020,OC4,cordgrass only,NA,238,NA,porewater; leaf clips
2020,OC5,cordgrass only,NA,414,NA,porewater; leaf clips
2020,OC6,cordgrass only,NA,364,NA,porewater; leaf clips
2020,OC7,cordgrass only,NA,69,NA,porewater; leaf clips
2020,OC8,cordgrass only,NA,122,NA,porewater; leaf clips
2020,OC9,cordgrass only,NA,288,NA,porewater; leaf clips
2020,OL1,cordgrass only,NA,154,NA,porewater; leaf clips
2020,OL10,cordgrass only,NA,52,NA,porewater; leaf clips
2020,OL2,cordgrass only,NA,7,NA,porewater; leaf clips
2020,OL3,cordgrass only,NA,0,NA,porewater; leaf clips
2020,OL4,cordgrass only,NA,177,NA,porewater; leaf clips
2020,OL5,cordgrass only,NA,30,NA,porewater; leaf clips
2020,OL6,cordgrass only,NA,187,NA,porewater; leaf clips
2020,OL7,cordgrass only,NA,146,NA,porewater; leaf clips
2020,OL8,cordgrass only,NA,88,NA,porewater; leaf clips
2020,OL9,cordgrass only,NA,51,NA,porewater; leaf clips
2020,ON1,cordgrass only,NA,326,NA,porewater; leaf clips
2020,ON10,cordgrass only,NA,247,NA,porewater; leaf clips
2020,ON2,cordgrass only,NA,347,NA,porewater; leaf clips
2020,ON3,cordgrass only,NA,201,NA,porewater; leaf clips
2020,ON4,cordgrass only,NA,683,NA,porewater; leaf clips
2020,ON5,cordgrass only,NA,198,NA,porewater; leaf clips
2020,ON6,cordgrass only,NA,352,NA,porewater; leaf clips
2020,ON7,cordgrass only,NA,411,NA,porewater; leaf clips
2020,ON8,cordgrass only,NA,210,NA,porewater; leaf clips
2020,ON9,cordgrass only,NA,286,NA,porewater; leaf clips
2023,N1,mussels,338,NA,NA,slurry sediment
2023,A2,mussels,238,NA,NA,slurry sediment
2023,A3,mussels,111,NA,NA,slurry sediment
2023,N5,mussels,131,NA,NA,slurry sediment
2023,A1,mussels,165,NA,NA,slurry sediment
2023,N6,mussels,190,NA,NA,slurry sediment
2023,A5,mussels,204,NA,NA,slurry sediment
2023,A8,mussels,119,NA,NA,slurry sediment
2023,N10,mussels,150,NA,NA,slurry sediment
2023,N7,mussels,203,NA,NA,slurry sediment
2023,L10,mussels,159,NA,NA,slurry sediment
2023,L9,mussels,153,NA,NA,slurry sediment
2023,L7,mussels,309,NA,NA,slurry sediment
2023,L6,mussels,229,NA,NA,slurry sediment
2023,L4,mussels,138,NA,NA,slurry sediment
2023,C1,mussels,306,NA,NA,slurry sediment
2023,C3,mussels,302,NA,NA,slurry sediment
2023,C4,mussels,289,NA,NA,slurry sediment
2023,OA10,cordgrass only,NA,70,NA,slurry sediment
2023,OA2,cordgrass only,NA,297,NA,slurry sediment
2023,OA3,cordgrass only,NA,237,NA,slurry sediment
2023,OA9,cordgrass only,NA,110,NA,slurry sediment
2023,OC2,cordgrass only,NA,183,NA,slurry sediment
2023,OC3,cordgrass only,NA,390,NA,slurry sediment
2023,OC9,cordgrass only,NA,195,NA,slurry sediment
2023,OL10,cordgrass only,NA,33,NA,slurry sediment
2023,OL2,cordgrass only,NA,0,NA,slurry sediment
2023,OL3,cordgrass only,NA,0,NA,slurry sediment
2023,OL4,cordgrass only,NA,102,NA,slurry sediment
2023,OL5,cordgrass only,NA,19,NA,slurry sediment
2023,OL8,cordgrass only,NA,53,NA,slurry sediment
2023,ON1,cordgrass only,NA,336,NA,slurry sediment
2023,ON10,cordgrass only,NA,208,NA,slurry sediment
2023,ON2,cordgrass only,NA,303,NA,slurry sediment
2023,ON3,cordgrass only,NA,160,NA,slurry sediment
2023,ON4,cordgrass only,NA,595,NA,slurry sediment
2023,ON6,cordgrass only,NA,447,NA,slurry sediment
