AreaID,Hour,Replicate,uMNOx,uMNH4,RemoveNOx,RemoveNH4
ON1,0,2,2.0175,10.25464286,N,N
ON2,0,2,2.612,8.246642857,Y,N
ON4,0,2,-0.2395,8.556357143,N,N
A1,6,1,2.078071429,10.09271429,N,N
A2,6,1,-0.490785714,10.405,N,N
A3,6,1,0.240071429,6.107,N,N
A5,6,1,-0.162714286,18.93264286,N,N
A8,6,1,1.977214286,17.40021429,N,Y
C1,6,1,-0.434,13.75478571,N,N
C3,6,1,1.845,27.36557143,N,N
C4,6,1,-0.088,14.49978571,N,N
L10,6,1,1.470142857,8.369642857,N,N
L4,6,1,0.3275,14.60992857,N,N
L6,6,1,0.254857143,20.36078571,N,N
L7,6,1,-0.007428571,17.63971429,N,Y
L9,6,1,0.763714286,17.95685714,N,Y
N1,6,1,-0.036357143,12.70592857,N,N
N10,6,1,5.133071429,34.97857143,N,N
N5,6,1,0.129928571,6.498785714,N,N
N6,6,1,1.339285714,11.48642857,N,N
N7,6,1,2.248142857,8.216071429,N,N
OA10,6,1,-0.069428571,8.341285714,N,N
OA2,6,1,1.223642857,5.727428571,N,N
OA3,6,1,-0.1455,5.185571429,N,N
OA9,6,1,-0.206785714,4.989214286,N,N
OC2,6,1,-0.221928571,6.053857143,N,N
OC3,6,1,-0.3975,5.508214286,N,N
OC9,6,1,-0.612642857,5.91,N,N
OL10,6,1,0.597785714,6.822714286,N,N
OL2,6,1,-0.395071429,4.3505,N,N
OL3,6,1,-0.542785714,5.134714286,N,N
OL4,6,1,-0.218857143,6.727714286,N,N
OL5,6,1,-0.132428571,7.629785714,N,N
OL8,6,1,0.494857143,7.077,N,N
ON10,6,1,-0.518357143,5.115428571,N,N
ON2,6,1,-0.669142857,5.707785714,N,N
ON3,6,1,1.201285714,4.689785714,N,N
ON4,6,1,-0.218857143,5.343714286,N,N
ON6,6,1,-0.036,5.125714286,N,N
WB,6,1,0.011857143,10.99057143,N,N
A1,6,2,13.7,14.061,Y,Y
A3,6,2,-0.107642857,5.777642857,N,N
A8,6,2,3.400071429,11.20021429,N,N
C1,6,2,0.065857143,11.243,N,N
C4,6,2,0.680714286,18.75464286,N,N
L7,6,2,-0.6815,8.4875,N,N
L9,6,2,-0.742785714,9.624285714,N,N
N1,6,2,-0.575785714,31.86157143,N,Y
N6,6,2,0.293785714,27.02657143,N,Y
OC9,6,2,-0.447785714,6.201642857,N,N
OL3,6,2,0.242142857,9.704428571,N,N
OL5,6,2,-0.216071429,6.284714286,N,N
ON1,6,2,1.442571429,8.737285714,N,N
A1,10,1,1.266285714,50.86928571,Y,Y
A2,10,1,0.369214286,40.46892857,Y,Y
A3,10,1,0.643857143,38.2375,Y,Y
A5,10,1,0.319,50.73071429,Y,Y
A8,10,1,0.1585,46.30571429,Y,Y
C1,10,1,-0.043,41.11428571,Y,Y
C3,10,1,0.129142857,64.44357143,Y,Y
C4,10,1,-0.461785714,36.1725,Y,Y
L10,10,1,0.293428571,38.10392857,Y,Y
L4,10,1,0.775357143,40.83392857,Y,Y
L6,10,1,0.324857143,45.39785714,Y,Y
L7,10,1,-0.554714286,34.24428571,Y,Y
L9,10,1,0.140714286,34.26214286,Y,Y
N1,10,1,-0.298857143,38.21142857,Y,Y
N10,10,1,3.497,55.25714286,Y,Y
N5,10,1,0.425571429,43.8625,Y,Y
N6,10,1,0.516428571,45.17428571,Y,Y
N7,10,1,0.162571429,42.58464286,Y,Y
OA10,10,1,-0.011642857,28.05014286,Y,Y
OA2,10,1,-0.601857143,23.041,Y,Y
OA3,10,1,-0.1585,27.08328571,Y,Y
OA9,10,1,-0.045428571,24.71271429,Y,Y
OC2,10,1,-0.1305,27.23328571,Y,Y
OC3,10,1,-0.260642857,28.90357143,Y,Y
OC9,10,1,-0.011928571,31.79371429,Y,Y
OL10,10,1,-0.660214286,16.42557143,Y,Y
OL2,10,1,-0.411928571,23.75757143,Y,Y
OL3,10,1,-0.149928571,32.22671429,Y,Y
OL4,10,1,-0.449142857,16.44442857,Y,Y
OL5,10,1,-0.017071429,26.63142857,Y,Y
OL8,10,1,-0.593285714,16.84271429,Y,Y
ON10,10,1,-0.442,24.658,Y,Y
ON2,10,1,-0.210428571,30.405,Y,Y
ON3,10,1,-0.4485,17.95171429,Y,Y
ON4,10,1,-0.121571429,18.699,Y,Y
ON6,10,1,0.057714286,24.78371429,Y,Y
WB,10,1,0.079214286,39.71571429,Y,Y
A8,10,2,-0.319,41.93428571,Y,Y
OL3,10,2,-0.543428571,17.33957143,Y,Y
OL5,10,2,-0.359357143,18.08342857,Y,Y
ON1,10,2,-0.555357143,27.65371429,Y,Y
ON6,10,2,-0.277357143,20.911,Y,Y
